method_key,method_label,checkpoint_step,fvd,psnr,ssim,sharpness,fft_hf,motion,lowfreq_motion,temporal_delta,source_file
corrected_global_mlp,Corrected Global MLP,0,72.36413179152842,17.202378933007815,0.696698632020494,0.348396905078759,0.9500368420807204,0.7369446842698009,0.731776183053605,9.541120243072509,data/benchmarks/corrected_global_mlp_hfteacher_v2_seed231_all5/model_summary_with_fvd.csv
corrected_global_mlp,Corrected Global MLP,100,81.63644564363048,17.02025259644429,0.6937482839522403,0.31702114182523006,0.9006587931157304,0.6903300361278404,0.6862877222788196,9.194565057754517,data/benchmarks/corrected_global_mlp_hfteacher_v2_seed231_all5/model_summary_with_fvd.csv
corrected_global_mlp,Corrected Global MLP,250,79.94608600676679,17.556071030738558,0.6943630728254176,0.29725568870895264,0.83291030980303,0.5844929417939193,0.5796654723093646,8.666931676864625,data/benchmarks/corrected_global_mlp_hfteacher_v2_seed231_all5/model_summary_with_fvd.csv
corrected_global_mlp,Corrected Global MLP,500,89.30611311541088,17.442488501237726,0.6965006549425591,0.2446499597691758,0.7664242422132339,0.5761765186626661,0.5715765561914196,8.660289096832276,data/benchmarks/corrected_global_mlp_hfteacher_v2_seed231_all5/model_summary_with_fvd.csv
corrected_global_mlp,Corrected Global MLP,1000,81.34194948780188,17.745522081750305,0.6988267562697003,0.24962906331587442,0.7897789421429169,0.5529104133613035,0.5482042736027372,8.475173616409302,data/benchmarks/corrected_global_mlp_hfteacher_v2_seed231_all5/model_summary_with_fvd.csv
corrected_global_mlp,Corrected Global MLP,1500,83.30093778390119,17.927332546929595,0.70347525000958,0.22747116581444393,0.7268850288747127,0.5318479734592778,0.5280123066982733,8.33817753791809,data/benchmarks/corrected_global_mlp_hfteacher_v2_seed231_all5/model_summary_with_fvd.csv
corrected_global_mlp,Corrected Global MLP,2000,94.44302424498201,17.881884349303043,0.6984870872946802,0.20488972036419922,0.6536241373062801,0.5057154408048843,0.5021868348122401,8.294847440719604,data/benchmarks/corrected_global_mlp_hfteacher_v2_seed231_all5/model_summary_with_fvd.csv
corrected_global_mlp,Corrected Global MLP,2500,87.65755393282905,17.95902134739044,0.7318803286188491,0.21670299081573713,0.6880950991102388,0.5401758397475214,0.5353273726089421,8.2625226020813,data/benchmarks/corrected_global_mlp_hfteacher_v2_seed231_all5/model_summary_with_fvd.csv
corrected_global_mlp,Corrected Global MLP,3000,84.89285189146119,18.186785898803468,0.7251797295862155,0.20502717989313446,0.6652804995634157,0.5235811804731542,0.5199082226507584,8.266854333877564,data/benchmarks/corrected_global_mlp_hfteacher_v2_seed231_all5/model_summary_with_fvd.csv
frame_adaln_2epoch,"Frame AdaLN, 2 epoch",0,69.33028635547697,17.85431206468592,0.7609371202173045,0.2782452869031642,nan,0.8059512034734901,nan,10.065430212020875,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
