method_key,method_label,checkpoint_step,fvd,psnr,ssim,sharpness,fft_hf,motion,lowfreq_motion,temporal_delta,source_file
v4_actionstrong_text,V4 action-strong + text,0,75.58449437551303,17.150619840918097,0.7010005761795154,0.3876381837887375,0.9879431345291201,0.7224303205935361,0.7168768053408876,9.350742101669312,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_actionstrong_text,V4 action-strong + text,100,76.3217356941766,17.139357873277447,0.7004987848978625,0.39068055267197954,0.9871907740662349,0.72470289927223,0.7186974621441138,9.360257768630982,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_actionstrong_text,V4 action-strong + text,250,77.58145258157231,17.1655777276046,0.7014872715177479,0.3822309023606974,0.9771910259502571,0.7197149730654949,0.7144280965188855,9.329607915878295,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_actionstrong_text,V4 action-strong + text,500,76.28461905339148,17.240862205735276,0.7043305889226612,0.3480177914103917,0.9239262431865253,0.6960048970085545,0.6898900729341305,9.204353189468383,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_actionstrong_text,V4 action-strong + text,750,76.79313638139345,17.3358221420345,0.7069550986193642,0.3265915030301746,0.8843599320921142,0.6780601726450616,0.6723332418307886,9.126447200775146,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_actionstrong_text,V4 action-strong + text,1000,73.92529136115704,17.39771123642114,0.7088294951394041,0.3020494099452038,0.8386880406665818,0.6561429009482724,0.6504923668881565,9.017920064926148,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_actionstrong_text,V4 action-strong + text,1500,77.61345676102161,17.522781405330402,0.7119464032278509,0.2834162899406433,0.8027549072529124,0.6424411010797799,0.6370072856953752,8.957597589492797,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_actionstrong_text,V4 action-strong + text,2000,76.05808226541515,17.600770419087738,0.7140932612773557,0.2728597061477548,0.7904119279544912,0.6410349388573606,0.6357426795333855,8.920893001556397,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_actionstrong_text,V4 action-strong + text,2500,74.95073490233008,17.724136158359933,0.7177122156571737,0.2624358966975999,0.7618209688207803,0.6226102819684177,0.6178594290810172,8.854318571090698,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
v4_actionstrong_text,V4 action-strong + text,3000,77.58154438276682,17.727885446677355,0.7182295198067477,0.2655447920336757,0.7667166990588454,0.6318266930438432,0.6270889043529129,8.894806432724,data/benchmarks/final_h100_v4_campaign_seed231_all5/model_summary_with_fvd.csv
