model_mode,num_clips,mean_future_mse,mean_future_mae,mean_future_psnr,mean_future_global_ssim,mean_context_mse,mean_context_psnr,mean_generated_future_laplacian_sharpness,mean_sharpness_ratio_generated_over_reference,mean_fft_high_frequency_energy_ratio_generated_over_reference,mean_motion_ratio_generated_over_reference,mean_low_frequency_motion_ratio_generated_over_reference,mean_temporal_delta_error_mae,mean_low_frequency_temporal_delta_error_mae,mean_boundary_mae_ratio_generated_over_reference,mean_copy_leakage_ratio_min_context_over_future,method_key,checkpoint_step,future_fvd_style,rank,source_table,method_label,fvd_future,fvd_backend,fvd_num_videos,fvd_num_frames,fvd_size
v4_main_text_r128_partial_step005000,5,2310.13649597168,26.417007064819337,17.268938647776046,0.7003700210266439,53.81874237060547,31.488002028813877,81.17640419006348,0.35865106710492023,0.9734085422963453,0.7117168931010729,0.7067465642797843,9.288988494873047,9.28745059967041,0.61402094810241,1.0809758459169891,v4_main_text_r128_partial,5000,86.71998896843732,,three_epoch,,,,,,
v4_main_text_r128_partial_step006000,5,2294.7707611083983,26.373316860198976,17.285729034937816,0.7018055805531824,53.87564697265625,31.481327132331227,80.00085391998292,0.35404903301776935,0.9820991339981177,0.7076228324860715,0.7024821265181044,9.24895157814026,9.241782855987548,0.6200640717808256,1.0853176118986332,v4_main_text_r128_partial,6000,83.48720491590268,,three_epoch,,,,,,
v4_main_text_r128_partial_step007000,5,2285.9342651367188,26.33530263900757,17.290751824979218,0.7022144783353446,53.890525817871094,31.479957793250502,79.33513374328614,0.35159743794324594,0.9750093618604645,0.706848865930026,0.7017310151206274,9.24659857749939,9.240034294128417,0.621971562841005,1.084331035177131,v4_main_text_r128_partial,7000,87.05456777281609,,three_epoch,,,,,,
v4_main_text_r128_partial_step007992,5,2306.1787048339843,26.371138763427734,17.28224704387628,0.7007106483200587,53.784624099731445,31.490370447737757,80.61892776489258,0.3562575592864155,0.972528024769562,0.7122127179075213,0.707582540306545,9.298815202713012,9.30340747833252,0.6315924426669318,1.0812891354986092,v4_main_text_r128_partial,7992,88.5690831345166,,three_epoch,,,,,,
v4_main_text_r128_partial_step009000,5,2308.2744903564453,26.381142711639406,17.26848654012589,0.7003923453761012,53.74025764465332,31.492175679803218,80.75183639526367,0.356162716129063,0.9719448822243641,0.7140209781654325,0.7086536638753801,9.30282621383667,9.306105661392213,0.6255170550544051,1.0805224741592325,v4_main_text_r128_partial,9000,84.60046866225306,,three_epoch,,,,,,
v4_main_text_r128_partial_step010000,5,2282.206854248047,26.327177429199217,17.286512256000357,0.7025124951937727,53.79558486938477,31.487444452778114,79.022869682312,0.3510003109936875,0.9746133374667604,0.7087716734209699,0.7046538913763163,9.259799003601074,9.259937191009522,0.6350919350362167,1.0849475541102696,v4_main_text_r128_partial,10000,84.00932226532686,,three_epoch,,,,,,
v4_main_text_r128_partial_step011000,5,2305.7839416503907,26.371473121643067,17.27773965756207,0.7004486175828657,53.77319488525391,31.491800960852125,80.33285617828369,0.35467440184310195,0.968961425706793,0.7121719672848175,0.7069357640017924,9.294486713409423,9.29510064125061,0.6158601009095869,1.0808756578896042,v4_main_text_r128_partial,11000,86.61544525321153,,three_epoch,,,,,,
v4_main_text_r128_partial_step012000,5,2306.518179321289,26.424862480163576,17.27797233458707,0.7008343486784396,53.80027770996094,31.489679007329812,80.03216075897217,0.3540217872486539,0.9790203785088236,0.7107384988500991,0.7053767370201921,9.273752737045289,9.267564392089843,0.6227961748784143,1.0821149297672656,v4_main_text_r128_partial,12000,83.70700744541116,,three_epoch,,,,,,
v4_main_text_r128_partial_step013000,5,2307.534518432617,26.35859441757202,17.275573427585307,0.7004985924873224,53.80499420166016,31.48756609295301,80.39420013427734,0.3555250912304329,0.9725293911696493,0.7093305820179497,0.704358970312587,9.286588525772094,9.290095043182372,0.6327002894962538,1.080128865292012,v4_main_text_r128_partial,13000,87.98300936217686,,three_epoch,,,,,,
v4_main_text_r128_partial_step014000,5,2303.9711944580076,26.399975967407226,17.285066207512006,0.7012735966895963,53.872689437866214,31.4836481924321,79.1338399887085,0.3503612210828698,0.9750254313444151,0.7076876396801782,0.7024242054807032,9.258535766601563,9.2542329788208,0.6172312194045183,1.083798666657014,v4_main_text_r128_partial,14000,83.8108728035229,,three_epoch,,,,,,
