model_mode,num_clips,mean_future_mse,mean_future_mae,mean_future_psnr,mean_future_global_ssim,mean_context_mse,mean_context_psnr,mean_generated_future_laplacian_sharpness,mean_sharpness_ratio_generated_over_reference,mean_fft_high_frequency_energy_ratio_generated_over_reference,mean_motion_ratio_generated_over_reference,mean_low_frequency_motion_ratio_generated_over_reference,mean_temporal_delta_error_mae,mean_low_frequency_temporal_delta_error_mae,mean_boundary_mae_ratio_generated_over_reference,mean_copy_leakage_ratio_min_context_over_future,method_key,checkpoint_step,future_fvd_style
v4_main_text_r32_step001000,5,2322.078317260742,26.544426727294923,17.222215272200298,0.6999721585376698,53.90179176330567,31.48018204837204,82.76797752380371,0.36536792026959575,0.9899418516955271,0.7185531580905539,0.71398236243737,9.322744512557984,9.321908330917358,0.6008874650287681,1.081352687015962,v4_main_text_r32,1000,86.98566145740702
v4_main_text_r32_step001500,5,2298.5954986572265,26.443381786346436,17.251648956055583,0.701396779443979,53.89647674560547,31.480026131053695,82.08346748352051,0.36313609294555255,0.9900403520227977,0.7164792476107026,0.7120159145634462,9.303517150878907,9.304027605056763,0.6097075554418991,1.0844195578989673,v4_main_text_r32,1500,85.65163864727907
v4_main_text_r32_step002000,5,2315.2386627197266,26.46443462371826,17.245294399906562,0.7001002277826259,53.83526344299317,31.485503433279195,81.57702693939208,0.3596463498484998,0.9858450923434363,0.7175133718337621,0.7126567058240832,9.31164870262146,9.309177780151368,0.6055792163352685,1.0820072823298077,v4_main_text_r32,2000,86.53427908975542
v4_main_text_r32_step002500,5,2314.1889373779295,26.494418621063232,17.250904339091647,0.7002598971553902,53.89318923950195,31.482671000626727,81.49768562316895,0.3596230655877505,0.9863029496324673,0.7147721097747808,0.7088122769701457,9.302883911132813,9.294540166854858,0.610645821242733,1.0810446952568022,v4_main_text_r32,2500,85.13550247089083
v4_main_text_r32_step003000,5,2312.543637084961,26.431646060943603,17.253035502373713,0.6997320804300579,53.82598114013672,31.484903752324243,82.1676643371582,0.36310515603884264,0.9839796711855143,0.7188350604413627,0.7144297410675916,9.335037136077881,9.341547918319701,0.6102763605596355,1.0801290773427386,v4_main_text_r32,3000,89.8071258031971
v4_main_text_r32_step004000,5,2311.5370483398438,26.40416431427002,17.259489122534458,0.700051146928862,53.88394012451172,31.4809874242879,81.76382427215576,0.36171201093692157,0.980234076957637,0.7169929324092812,0.7123326145275815,9.31835765838623,9.322200632095337,0.6079836391465032,1.0810812755789243,v4_main_text_r32,4000,85.24062607814602
v4_main_text_r32_step005000,5,2314.588348388672,26.432040882110595,17.260551194513017,0.6999631819253236,53.85270195007324,31.483992158634408,81.97616844177246,0.36159928154537574,0.9780961299671732,0.7189867269877199,0.7146403927784285,9.334802627563477,9.344332551956176,0.6065825308783402,1.0816044897377926,v4_main_text_r32,5000,88.293600166565
v4_main_text_r32_step006000,5,2311.3642974853515,26.4126446723938,17.265835361950828,0.6997771588256423,53.87077445983887,31.483494374214654,81.81147708892823,0.3612829701426589,0.9772102122894267,0.7165997203237978,0.7121926549299544,9.327606201171875,9.337647867202758,0.6252440408714413,1.0822164744925697,v4_main_text_r32,6000,89.15343032440813
v4_main_text_r32_step007000,5,2305.9250762939455,26.45040645599365,17.264698027366,0.7012603017467631,53.798783493041995,31.489077184654445,81.27878170013427,0.3592446040092061,0.9878670467138292,0.7151948414193148,0.7097650921119223,9.29792103767395,9.290709924697875,0.615961426573514,1.084306794162848,v4_main_text_r32,7000,83.15364290414968
v4_main_text_r32_step007992,5,2313.1266235351563,26.418971252441406,17.256624010778587,0.6996636400082232,53.84907112121582,31.483404207392937,81.9672966003418,0.3611656503097385,0.9764184478605253,0.7174391515714109,0.7131342969555633,9.32847490310669,9.33748197555542,0.6159701248949585,1.080497113964776,v4_main_text_r32,7992,87.42714447984667
