stratum,model_key,num_clips,mean_S_rgb,mean_S_delta,mean_delta_psnr,mean_delta_ssim,mean_delta_temporal_error,mean_delta_lowfreq_temporal_error,mean_delta_motion_ratio_error,mean_delta_lowfreq_motion_ratio_error,mean_delta_flow_magnitude_error,mean_delta_flow_x_error,mean_delta_flow_y_error
accelerate,v4_r64_selected_step018000,408,2.483949752755804,2.073636347476661,0.004929955951737649,0.0006876912340551108,0.000428158375951978,0.00026404409626728425,0.0010855550754852149,0.0009688211761261256,0.007791679472637885,0.0041177936972672646,0.0006541900376962311
all,v4_r64_selected_step018000,1904,2.2622988190741933,1.9257297075617046,-0.004192230869206404,0.0001460840065831307,-0.00037012315493505093,-0.00024593956455463436,0.0027045279966762493,0.0022431391409935115,-2.8703753691610132e-05,-0.0008481285750838708,0.0005057716914182377
brake,v4_r64_selected_step018000,402,2.0407351594955765,1.896215693175694,-0.0006408474326569246,-3.0736528969467016e-05,-0.002028647050335657,-0.0014903838954754686,-0.00051111705699561,-0.0004965821573837354,-0.004393920779144518,2.693512474474945e-06,-0.002095205889551141
high_action,v4_r64_selected_step018000,1055,2.3025908198778473,2.0357015422593925,0.0019228938379004551,0.00027359906623224584,-0.00046609408482558114,-0.0002424809228375968,0.00010228180784748551,6.419971083490797e-05,0.001630941859689765,0.0015058168084102202,-0.00032975284382546035
low_action,v4_r64_selected_step018000,571,2.335309107646007,1.7838483767521987,-0.01785942716151731,-9.709243806667199e-06,-0.00014907923693971285,-0.00016018398588885067,0.007601218516273301,0.006206489528851429,-0.0034145717683315494,-0.004597555481750158,0.003080548145698603
turning,v4_r64_selected_step018000,509,2.5465614572411357,2.244890765838945,0.004185593810866043,0.0005394504270796044,-0.0005906073970582658,-0.0003121286415944579,0.0004195539230653776,0.0003255011305440246,0.0037717705535902915,0.0016321600150301628,-0.0004702675816734942
